"OBSID1" "OBSID2" "STUDYID" "CRN_SUBCMP" "IGSNID" "DBDOI" "DBVERNO" "SMPID" "SITEID" "METASITEID" "CNTRY" "REGION_INT" "REGION_REG" "DIV_ADMIN" "DIV_OTHER" "ISL_NAME" "LAKE" "BASIN" "AHGFL1" "AHGFL2" "RIVNAME" "RIVDIV" "IBRACODE" "IBRAREGION" "X_WGS84" "Y_WGS84" "CORDS_ELEV" "ELEVATION" "SITE_COMMT" "REFDBID" "OAID" "AUTHOR" "PUBYEAR" "REFID" "REFDOI" "MATERIAL" "SIZEMIN" "SIZEMAX" "PROJEPSGID" "PROJECTION" "AREA" "ELEV_AVE" "ELEV_STD" "SLP_AVE" "SLP_STD" "SMP_DAY" "SMP_MONTH" "SMP_YEAR" "SMP_COMMT" "BE10NP" "BE10NP_ERR" "BE10EP" "BE10EP_ERR" "BESTND" "BECORR" "BEAMS" "BE10NC" "BE10NC_ERR" "BEPROD" "BETOPO" "BESELF" "BESNOW" "BETOTS" "EBE_GCMYR" "ERRBE_AMS" "ERRBE_MUON" "ERRBE_PROD" "ERRBE_TOT" "EBE_MMKYR" "EBE_ERR" "AL26NP" "AL26NP_ERR" "AL26EP" "AL26EP_ERR" "ALSTND" "ALCORR" "ALAMS" "AL26NC" "AL26NC_ERR" "ALPROD" "ALTOPO" "ALSELF" "ALSNOW" "ALTOTS" "EAL_GCMYR" "ERRAL_AMS" "ERRAL_MUON" "ERRAL_PROD" "ERRAL_TOT" "EAL_MMKYR" "EAL_ERR" "layer" "path" "P" "Nneutrons" "Nmuons" "E1" "E2" "E3"
"S231WTS007" "BG31" "S231" "AUS" NA "TBA" 2 "CRNSM04541" "CRNST04046a" NA "AUS" "Bega Riv." "AUS" "AU-NSW" NA NA NA "Numeralla River" "SEN" "SEN_19" "Bega River" "South East Coast (NSW)" "SEH" "South Eastern Highlands" 149.381048 -36.459925 "INTP_ND" -9999.99 NA "Godard:2019escarpment" "OAID-000066" "Godard" 2019 "Earth_Planet_Sc_Lett_506" "10.1016/j.epsl.2018.11.017" "Sa" 250 1000 32756 "WGS84_UTM_56S" 74.47 1104.07 40.35 77.41 45.2 -9999 -9999 -9999 NA 510000 20700 13.1 1.4 "07KNSTD" 1 "ASTER" 510000 20700 2.17 1 1 1 2.169 0.00306 0.00013 0.00018 6e-04 0.00064 11.53 2.41 -9999 -9999 -9999.99 -9999.99 NA 0 "ASTER" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 887.434931269878 2.21547066268153 1.50963122394715 10.5175433013427 12.6005327992463 11.5013062714259
"S003WTS006" "WP-9" "S003" "AUS" NA "10.4225/48/5a836cdfac9b5" 1 "CRNSM00014" "CRNST00010a" NA "AUS" "ND" "AUS" "AU-SA" NA NA NA "Cooper Creek-Bulloo River" "LEB" "LEB_01" "Cooper Creek-Bulloo River" "Lake Eyre Basin" "FLB" "Flinders Lofty Block" 138.590116 -31.545109 "INTP_ND" -9999.99 NA "Bierman:1998tracers" "OAID-000013" "Bierman" 1998 "incollection" "10.1016/b978-0-444-81546-0.50026-4" "ND" 0 0 32753 "WGS84_UTM_53S" 72.26 694.29 111.24 128.03 115.06 -9999 -9999 -9999 NA 1709392 63051 3.02 0.99 "KNSTD" 0.9042 "LLNL-CAMS-Assumed" 1545632 57011 1.427 0.998 1 1 1.424 0.00058 3e-05 3e-05 0.00013 0.00013 2.19 0.5 -9999 -9999 -9999.99 -9999.99 NA 0 "LLNL-CAMS-Assumed" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 932.561402662972 1.47309633541553 1.18421619517557 2.30750967108236 2.84666174749826 2.22446415004953
"S281WTS011" "MQR" "S281" "AUS" NA "TBA" 2 "CRNSM04447" "CRNST03977a" NA "AUS" "Wollongong Coast" "AUS" "AU-NSW" NA NA NA "Macquarie Rivulet" "SEN" "SEN_14" "Wollongong Coast" "South East Coast (NSW)" "SYB" "Sydney Basin" 150.706758 -34.577122 "INTP_ND" -9999.99 NA "Codilean:2021margin" "OAID-000032" "Codilean" 2021 "Earth-Sci_Rev_214" "10.1016/j.earscirev.2021.103543" "Sa" 250 500 32755 "WGS84_UTM_55S" 33.63 388.65 208.24 232.68 164.26 -9999 -9999 -9999 NA 90845 2625 39.76 9.24 "07KNSTD" 1 "ANSTO" 90845 2625 1.208 0.988 1 1 1.193 0.01054 0.00031 0.00119 0.00212 0.00245 39.76 9.24 532849 39946 50.74 12.02 "KNSTD" 1 "ANSTO" 532849 39946 1.208 0.988 1 1 1.193 0.01345 0.00105 0.00128 0.00272 0.00319 50.74 12.02 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 967.414792487797 1.22448166449508 1.06201813157837 32.6339571108593 40.860498531784 39.3592575038247
"S231WTS006" "BG30" "S231" "AUS" NA "TBA" 2 "CRNSM04540" "CRNST04045a" NA "AUS" "Bega Riv." "AUS" "AU-NSW" NA NA NA "Kybeyan River" "SEN" "SEN_19" "Bega River" "South East Coast (NSW)" "SEH" "South Eastern Highlands" 149.422337 -36.36249 "INTP_ND" -9999.99 NA "Godard:2019escarpment" "OAID-000066" "Godard" 2019 "Earth_Planet_Sc_Lett_506" "10.1016/j.epsl.2018.11.017" "Sa" 250 1000 32756 "WGS84_UTM_56S" 60.86 1090.87 38.99 76.5 47.2 -9999 -9999 -9999 NA 693800 30700 9.5 1 "07KNSTD" 1 "ASTER" 693800 30700 2.145 1 1 1 2.144 0.00218 1e-04 0.00012 0.00043 0.00046 8.22 1.73 -9999 -9999 -9999.99 -9999.99 NA 0 "ASTER" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 888.860447857007 2.18915686875162 1.49913569356568 7.63943198785492 9.15995513430095 8.08080302065128
"S132WTS007" "QLD 7" "S132" "AUS" NA "10.4225/48/5a836cdfac9b5" 1 "CRNSM02414" "CRNST02168a" NA "AUS" "Queensland" "AUS" "AU-QLD" NA NA NA "Barron Riv." "NEC" "NEC_10" "Barron River" "North East Coast" "WET" "Wet Tropics" 145.557845 -16.903067 "INTP_ND" -9999.99 NA "Nichols:2014barron" "OAID-000114" "Nichols" 2014 "Geomorphology_224" "10.1016/j.geomorph.2014.07.019" "Sa" 250 850 32755 "WGS84_UTM_55S" 82.46 513.4 109.94 130.85 110.63 -9999 -9999 -9999 NA 181000 3000 21.4 1.5 "07KNSTD" 1 "LLNL-CAMS" 181000 3000 0.959 0.998 1 1 0.957 0.00419 7e-05 5e-04 0.00089 0.00102 15.81 3.86 -9999 -9999 -9999.99 -9999.99 NA 0 "LLNL-CAMS" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 953.063870996241 0.960975403394471 0.8384640321953 12.8544108999873 16.114220609646 14.6792858147816
"S041WTS001" "YG07" "S041" "AUS" NA "10.4225/48/5a836cdfac9b5" 1 "CRNSM00748" "CRNST00638a" NA "AUS" "Flinders Ranges (SA)" "AUS" "AU-SA" NA NA NA "Yudnamutana Crk." "LEB" "LEB_01" "Cooper Creek-Bulloo River" "Lake Eyre Basin" "FLB" "Flinders Lofty Block" 139.414076 -30.192016 "INTP_ND" -9999.99 NA "Quigley:2007flinders" "OAID-000132" "Quigley" 2007 "Earth_Surf_Proc_Land_32" "10.1002/esp.1459" "Sa" 250 500 32753 "WGS84_UTM_53S" 67.41 559.95 128.74 256.5 133.2 -9999 -9999 -9999 NA 137000 14000 22.79 2.78 "NIST_30000" 0.9313 "ANU" 127588 13038 1.272 0.991 1 1 1.261 0.00779 0.00084 0.00082 0.00157 0.00196 29.38 7.39 -9999 -9999 -9999.99 -9999.99 NA 0 "ANU" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 947.75325364452 1.29709417509965 1.09442437130874 24.6138846305395 30.6500664433927 29.0881750294018
"S284WTS011" "TLB-11" "S284" "AUS" NA "TBA" 2 "CRNSM04563" "CRNST04068a" NA "AUS" "Murrumbidgee River" "AUS" "AU-NSW" NA NA NA "Yandyguinula Creek" "MDB" "MDB_12" "Murrumbidgee River" "Murray-Darling Basin" "SEH" "South Eastern Highlands" 149.507851 -35.459826 "INTP_ND" -9999.99 NA "Portenga:2016burning" "OAID-000130" "Portenga" 2016 "Geology_44" "10.1130/G37257.1" "Sa" 250 850 32755 "WGS84_UTM_55S" 21.81 992.82 105.57 149.82 76.26 -9999 -9999 -9999 NA 560000 13000 11.1 0.9 "07KNSTD" 1 "SUERC" 560000 13000 1.956 0.998 1 1 1.952 0.00249 6e-05 0.00015 5e-04 0.00052 9.4 1.97 -9999 -9999 -9999 -9999 NA 0 "SUERC" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 899.507376253918 1.99587273855681 1.42016745917681 8.62905626049896 10.413644048823 9.29283604537277
"S231WTS018" "BG27" "S231" "AUS" NA "TBA" 2 "CRNSM04552" "CRNST04057a" NA "AUS" "Bega Riv." "AUS" "AU-NSW" NA NA NA "Bemboka River" "SEN" "SEN_19" "Bega River" "South East Coast (NSW)" "SEC" "South East Corner" 149.477868 -36.597753 "INTP_ND" -9999.99 NA "Godard:2019escarpment" "OAID-000066" "Godard" 2019 "Earth_Planet_Sc_Lett_506" "10.1016/j.epsl.2018.11.017" "Sa" 250 1000 32756 "WGS84_UTM_56S" 52.52 1006.76 149.76 151.66 111.32 -9999 -9999 -9999 NA 121300 9300 51.6 6.5 "07KNSTD" 1 "ASTER" 121300 9300 2.028 0.996 1 1 2.022 0.01263 0.00099 0.00096 0.00242 0.00279 47.66 10.52 -9999 -9999 -9999.99 -9999.99 NA 0 "ASTER" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 897.9874117826 2.06306891423926 1.44743705990338 41.1785846840333 49.5756063496614 48.1544044029221
"S285WTS019" "LVP-UP" "S285" "AUS" NA "TBA" 2 "CRNSM04582" "CRNST04087a" NA "AUS" "Johnstone River" "AUS" "AU-QLD" NA NA NA "Liverpool Creek" "NEC" "NEC_12" "Johnstone River" "North East Coast" "WET" "Wet Tropics" 145.876935 -17.712532 "INTP_ND" -9999.99 NA "Mariotti:2021reef" "OAID-000097" "Mariotti" 2021 "Mar_Pollut_Bull_" NA "Sa" 250 500 32755 "WGS84_UTM_55S" 50.92 315.85 193.61 269.21 148.25 -9999 -9999 -9999 NA 38749 3199 70.19 18.95 "07KNSTD" 1 "ANU" 38749 3199 0.841 0.989 1 1 0.832 0.0186 0.00159 0.00282 0.00384 0.00502 70.19 18.95 -9999 -9999 -9999 -9999 NA 0 "ANU" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 975.870037997382 0.834522902714877 0.770424355368338 52.1430273678995 66.13425721233 64.3578589722452
"S231WTS012" "BG17" "S231" "AUS" NA "TBA" 2 "CRNSM04546" "CRNST04051a" NA "AUS" "Bega Riv." "AUS" "AU-NSW" NA NA NA "Colombo Creek" "SEN" "SEN_19" "Bega River" "South East Coast (NSW)" "SEC" "South East Corner" 149.577105 -36.635514 "INTP_ND" -9999.99 NA "Godard:2019escarpment" "OAID-000066" "Godard" 2019 "Earth_Planet_Sc_Lett_506" "10.1016/j.epsl.2018.11.017" "Sa" 250 1000 32756 "WGS84_UTM_56S" 50.67 418.18 218.77 155.17 138.01 -9999 -9999 -9999 NA 145300 12900 28.1 3.8 "07KNSTD" 1 "ASTER" 145300 12900 1.288 0.995 1 1 1.279 0.00689 0.00064 0.00071 0.00139 0.00169 26 6.36 -9999 -9999 -9999.99 -9999.99 NA 0 "ASTER" -9999 -9999 -99.999 -9.999 -9.999 -9.999 -99.999 -9.99999 -9.99999 -9.99999 -9.99999 -9.99999 -9999.99 -9999.99 "crn_aus_basins" "/home/vincent/data/chantiers/monde/vecteurs/octopus_v2/crn_aus_basins/crn_aus_basins.shp" 964.002033633066 1.29609860314512 1.10233064842138 21.5968747491308 26.9355395627921 25.36240010459
